   * Generated on 2025-Jan-06 00:22 CET  .
%TABLE{columnwidths="5%,65%,5%,5%,5%,15%"}%
|*Group*|*Title*|*System*|*arXiv*|*Inspire*|*Journal*|*N*|
|CF|First measurement of symmetric cumulants of hexagonal flow harmonics in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2412.15873v1][2412.15873]]|[[-][0]]|%RED%Submitted%ENDCOLOR%|511|
|EM|Direct-photon production in inelastic and high-multiplicity proton-proton collisions at $\sqrt{s} =$ 13 !TeV|pp|[[http://arxiv.org/abs/2411.14366v1][2411.14366]]|[[https://inspirehep.net/literature/2850920][2850920]]|%RED%Submitted%ENDCOLOR%|510|
|HF|Studying charm hadronisation into baryons with azimuthal correlations of $Λ_{\rm c}^{+}$ with charged particles in pp collisions at $\mathbf{\sqrt{s} = 13}$ !TeV|pp|[[http://arxiv.org/abs/2411.10104v1][2411.10104]]|[[https://inspirehep.net/literature/2849184][2849184]]|%RED%Submitted%ENDCOLOR%|509|
|EM|Light neutral-meson production in pp collisions at $\sqrt{s}$ = 13 !TeV|pp|[[http://arxiv.org/abs/2411.09560v1][2411.09560]]|[[https://inspirehep.net/literature/2848478][2848478]]|%RED%Submitted%ENDCOLOR%|508|
|EM|Measurement of $ω$ meson production in pp collisions at $\sqrt{s}$ = 13 !TeV|pp|[[http://arxiv.org/abs/2411.09432v1][2411.09432]]|[[https://inspirehep.net/literature/2848263][2848263]]|%RED%Submitted%ENDCOLOR%|507|
|CF|System size and energy dependence of the mean transverse momentum fluctuations at the LHC|pp,%RED%PbPb%ENDCOLOR%,%PINK%XeXe%ENDCOLOR%|[[http://arxiv.org/abs/2411.09334v1][2411.09334]]|[[https://inspirehep.net/literature/2848476][2848476]]|%RED%Submitted%ENDCOLOR%|506|
|CF|Observation of partonic flow in proton-proton and proton-nucleus collisions|pp,%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2411.09323v1][2411.09323]]|[[https://inspirehep.net/literature/2848254][2848254]]|%RED%Submitted%ENDCOLOR%|505|
|JE|Medium-induced modification of groomed and ungroomed jet mass and angularities in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2411.03106v1][2411.03106]]|[[https://inspirehep.net/literature/2845788][2845788]]|%RED%Submitted%ENDCOLOR%|504|
|UD|Multimuons in cosmic-ray events as seen in ALICE at the LHC|c.r.|[[http://arxiv.org/abs/2410.17771v1][2410.17771]]|[[https://inspirehep.net/literature/2842099][2842099]]|%RED%Submitted%ENDCOLOR%|503|
|LF|First measurement of A = 4 (anti)hypernuclei at the LHC|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2410.17769v1][2410.17769]]|[[https://inspirehep.net/literature/2842103][2842103]]|%RED%Submitted%ENDCOLOR%|502|
|JE|Search for quasi-particle scattering in the quark-gluon plasma with jet splittings in pp and Pb$-$Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 !TeV|pp,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2409.12837v1][2409.12837]]|[[https://inspirehep.net/literature/2831271][2831271]]|%RED%Submitted%ENDCOLOR%|501|
|LF|First observation of strange baryon enhancement with effective energy in pp collisions at the LHC|pp|[[http://arxiv.org/abs/2409.12702v1][2409.12702]]|[[https://inspirehep.net/literature/2830416][2830416]]|%RED%Submitted%ENDCOLOR%|500|
|JE|Exposing the parton-hadron transition within jets with energy-energy correlators in pp collisions at $\sqrt{\textit s}=5.02$ !TeV|pp|[[http://arxiv.org/abs/2409.12687v2][2409.12687]]|[[https://inspirehep.net/literature/2830401][2830401]]|%RED%Submitted%ENDCOLOR%|499|
|JE|Measurement of the inclusive isolated-photon production cross section in pp and Pb$-$Pb collisions at $\sqrt{s_{\rm NN}}=5.02$ !TeV|pp,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2409.12641v1][2409.12641]]|[[https://inspirehep.net/literature/2831272][2831272]]|%RED%Submitted%ENDCOLOR%|498|
|EM|Addendum: Dielectron production in proton-proton and proton-lead collisions at $\sqrt{s_{\rm NN}}$ = 5.02 !TeV|pp,%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2409.12025v1][2409.12025]]|[[https://inspirehep.net/literature/2829718][2829718]]|%RED%Submitted%ENDCOLOR%|497|
|DQ|Coherent J/$ψ$ photoproduction at midrapidity in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2409.11940v1][2409.11940]]|[[https://inspirehep.net/literature/2829848][2829848]]|%RED%Submitted%ENDCOLOR%|496|
|HF|Investigating charm quark energy loss in medium with the nuclear modification factor of D$^0$-tagged jets|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2409.11939v1][2409.11939]]|[[https://inspirehep.net/literature/2829716][2829716]]|%RED%Submitted%ENDCOLOR%|495|
|HF|First measurement of $\mathrm{D_{s1}}(1^{+})(2536)^+$ and $\mathrm{D_{s2}^{*}(2^{+})(2573)^+}$ production in proton--proton collisions at $\sqrt{s} = 13$ !TeV at the LHC|pp|[[http://arxiv.org/abs/2409.11938v1][2409.11938]]|[[https://inspirehep.net/literature/2829721][2829721]]|%RED%Submitted%ENDCOLOR%|494|
