   * Generated on 2022-Mar-15 16:47 UTC  .
%TABLE{columnwidths="5%,65%,5%,5%,5%,15%"}%
|*Group*|*Title*|*System*|*arXiv*|*Inspire*|*Journal*|*N*|
|LF|First measurement of the absorption of \(^{3}\overline{\rm He}\) nuclei in matter and impact on their propagation in the galaxy|pp,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2202.01549v1][2202.01549]]|[[https://inspirehep.net/literature/2026264][2026264]]|%RED%Submitted%ENDCOLOR%|363|
|JE|Multiplicity dependence of charged-particle jet production in pp collisions at \(\sqrt{s} = 13\) !TeV|pp|[[http://arxiv.org/abs/2202.01548v1][2202.01548]]|[[https://inspirehep.net/literature/2026265][2026265]]|%RED%Submitted%ENDCOLOR%|362|
|HF|Measurement of beauty production via non-prompt \({\rm D}^{0}\) mesons in Pb-Pb collisions at \(\sqrt{s_{\rm NN}}\) = 5.02 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2202.00815v1][2202.00815]]|[[https://inspirehep.net/literature/2025044][2025044]]|%RED%Submitted%ENDCOLOR%|361|
|CF|First study of the two-body scattering involving charm hadrons|pp|[[http://arxiv.org/abs/2201.05352v1][2201.05352]]|[[https://inspirehep.net/literature/2011222][2011222]]|%RED%Submitted%ENDCOLOR%|360|
|CF|Neutral to charged kaon yield fluctuations in Pb\(-\)Pb collisions at \(\sqrt{s_{\rm NN}}\) = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2112.09482v1][2112.09482]]|[[https://inspirehep.net/literature/1993200][1993200]]|%RED%Submitted%ENDCOLOR%|359|
|DQ|Forward rapidity J/\(\psi\) production as a function of charged-particle multiplicity in pp collisions at \(\sqrt{s} =\) 5.02 and 13 !TeV|pp|[[http://arxiv.org/abs/2112.09433v1][2112.09433]]|[[https://inspirehep.net/literature/1992719][1992719]]|%RED%Submitted%ENDCOLOR%|358|
|HF|Constraining hadronization mechanisms with \(\rm \Lambda_{\rm c}^{+}\)/D\(^0\) production ratios in Pb-Pb collisions at \(\sqrt{s_{\rm NN}} = 5.02\) !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2112.08156v1][2112.08156]]|[[https://inspirehep.net/literature/1990765][1990765]]|%RED%Submitted%ENDCOLOR%|357|
|LF|Production of light (anti)nuclei in pp collisions at \(\sqrt{s}~=~5.02\) !TeV|pp|[[http://arxiv.org/abs/2112.00610v1][2112.00610]]|[[https://inspirehep.net/literature/1981685][1981685]]|%RED%Submitted%ENDCOLOR%|356|
|HF|Observation of a multiplicity dependence in the \(p_{\rm T}\)-differential charm baryon-to-meson ratios in proton-proton collisions at \(\sqrt{s} = 13\) !TeV|pp|[[http://arxiv.org/abs/2111.11948v1][2111.11948]]|[[https://inspirehep.net/literature/1973854][1973854]]|%RED%Submitted%ENDCOLOR%|355|
|CF|K\(^0_{\rm S}\)K\(^0_{\rm S}\) and K\(^0_{\rm S}\)K\(^\pm\) femtoscopy in pp collisions at \(\sqrt{s}=\) 5.02 and 13 !TeV|pp|[[http://arxiv.org/abs/2111.06611v1][2111.06611]]|[[https://inspirehep.net/literature/1967109][1967109]]|%RED%Submitted%ENDCOLOR%|354|
|CF|Characterizing the initial conditions of heavy-ion collisions at the LHC with mean transverse momentum and anisotropic flow correlations|%RED%PbPb%ENDCOLOR%,%PINK%XeXe%ENDCOLOR%|[[http://arxiv.org/abs/2111.06106v1][2111.06106]]|[[https://inspirehep.net/literature/1966120][1966120]]|%RED%Submitted%ENDCOLOR%|353|
|HF|Investigating charm production and fragmentation via azimuthal correlations of prompt D mesons with charged particles in pp collisions at \(\sqrt{s} = 13\) !TeV|pp|[[http://arxiv.org/abs/2110.10043v1][2110.10043]]|[[https://inspirehep.net/literature/1946828][1946828]]|%RED%Submitted%ENDCOLOR%|352|
|LF|\(\mathrm{K}^{*}(\mathrm{892})^{0}\) and \(\mathrm{\\(\phi(1020)\)}\) production in p-Pb collisions at \(\sqrt{s_{\rm NN}}\) = 8.16 !TeV|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2110.10042v1][2110.10042]]|[[https://inspirehep.net/literature/1946970][1946970]]|%RED%Submitted%ENDCOLOR%|351|
|HF|Measurement of prompt \(\rm{D_{s}^{+}}\)-meson production and azimuthal anisotropy in Pb-Pb collisions at \(\sqrt{s_{\rm NN}} = 5.02\) !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2110.10006v1][2110.10006]]|[[https://inspirehep.net/literature/1946931][1946931]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2022.136986][Phys. Lett. B 827]]%ENDCOLOR%|350|
|HF|Prompt D\(^{0}\), D\(^{+}\), and D\(^{*+}\) production in Pb-Pb collisions at \(\sqrt{s_{\rm NN}}\) = 5.02 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2110.09420v3][2110.09420]]|[[https://inspirehep.net/literature/1946131][1946131]]|%GREEN%[[https://doi.org/10.1007/JHEP01(2022)174][JHEP 01]]%ENDCOLOR%|349|
|CF|General balance functions of identified charged hadron pairs of \((\pi,{\rm K},{\rm p})\) in Pb\(-\)Pb collisions at \(\sqrt{s_{\rm NN}} = 2.76\) !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2110.06566v1][2110.06566]]|[[https://inspirehep.net/literature/1943964][1943964]]|%RED%Submitted%ENDCOLOR%|348|
