Group,Title,System,arXivLink,arXivAbs,InspireLink,DatePublishedArxiv,Journal,N
DQ,Dielectron production at midrapidity at low transverse momentum in peripheral and semi-peripheral Pb$-$Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV,PbPb,http://arxiv.org/abs/2204.11732v1,2204.11732,-,2022-04-25,Submitted,380
DQ,Photoproduction of low-$p_{\rm T}$ J/$ψ$ from peripheral to central Pb$-$Pb collisions at 5.02 TeV,PbPb,http://arxiv.org/abs/2204.10684v1,2204.10684,-,2022-04-22,Submitted,379
HF,W$^\pm$-boson production in p$-$Pb collisions at $\sqrt{s_{NN}} = 8.16$ TeV and PbPb collisions at $\sqrt{s_{NN}} = 5.02$ TeV,"pPb,PbPb",http://arxiv.org/abs/2204.10640v1,2204.10640,-,2022-04-22,Submitted,378
MM,Underlying-event properties in pp and p$-$Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV,"pp,pPb",http://arxiv.org/abs/2204.10389v1,2204.10389,-,2022-04-21,Submitted,377
HF,Measurement of beauty-strange meson production in Pb$-$Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV via non-prompt $\mathrm{D_s}^{+}$ mesons,PbPb,http://arxiv.org/abs/2204.10386v1,2204.10386,-,2022-04-21,Submitted,376
JE,Measurement of inclusive and leading subjet fragmentation in pp and Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV,"pp,PbPb",http://arxiv.org/abs/2204.10270v1,2204.10270,-,2022-04-21,Submitted,375
LF,Multiplicity and rapidity dependence of ${\rm K}^*(892)^0$ and $φ(1020)$ production in p-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV,pPb,http://arxiv.org/abs/2204.10263v1,2204.10263,-,2022-04-21,Submitted,374
LF,First measurement of the $Λ$-$Ξ$ interaction in proton-proton collisions at the LHC,pp,http://arxiv.org/abs/2204.10258v1,2204.10258,-,2022-04-21,Submitted,373
DQ,Measurement of $ψ$(2S) production as a function of charged-particle pseudorapidity density in pp collisions at $\sqrt{s}$ = 13 TeV and p-Pb collisions at $\sqrt{s_{\rm NN}}$ = 8.16 TeV with ALICE at the LHC,"pp,pPb",http://arxiv.org/abs/2204.10253v1,2204.10253,-,2022-04-21,Submitted,372
JE,Measurements of the groomed jet radius and momentum splitting fraction with the soft drop and dynamical grooming algorithms in pp collisions at $\sqrt{s}=5.02$ TeV,pp,http://arxiv.org/abs/2204.10246v1,2204.10246,-,2022-04-21,Submitted,371
CF,Elliptic flow of charged particles at midrapidity relative to the spectator plane in Pb-Pb and Xe-Xe collisions,"PbPb,XeXe",http://arxiv.org/abs/2204.10240v1,2204.10240,-,2022-04-21,Submitted,370
MM,"System-size dependence of the charged-particle pseudorapidity density at $\sqrt{s_{\rm NN}} = 5.02$ TeV for pp, p-Pb, and Pb-Pb collisions","pp,pPb,PbPb",http://arxiv.org/abs/2204.10210v1,2204.10210,-,2022-04-21,Submitted,369
DQ,Measurement of the J/$ψ$ polarization with respect to the event plane in Pb-Pb collisions at the LHC,PbPb,http://arxiv.org/abs/2204.10171v1,2204.10171,-,2022-04-21,Submitted,368
HF,Measurement of the production of charm jets tagged with ${\rm D^0}$ mesons in pp collisions at $\sqrt{s}$ = 5.02 and 13 TeV,pp,http://arxiv.org/abs/2204.10167v1,2204.10167,-,2022-04-21,Submitted,367
CF,First measurement of antideuteron number fluctuations at energies available at the Large Hadron Collider,PbPb,http://arxiv.org/abs/2204.10166v1,2204.10166,-,2022-04-21,Submitted,366
MM,"Study of charged particle production at high $p_{\rm T}$ using event topology in pp, p$-$Pb and Pb$-$Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV","pp,pPb,PbPb",http://arxiv.org/abs/2204.10157v1,2204.10157,-,2022-04-21,Submitted,365
MM,ALICE luminosity determination for Pb$-$Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV,PbPb,http://arxiv.org/abs/2204.10148v1,2204.10148,-,2022-04-21,Submitted,364
LF,First measurement of the absorption of $^{3}\overline{\rm He}$ nuclei in matter and impact on their propagation in the galaxy,"pp,PbPb",http://arxiv.org/abs/2202.01549v1,2202.01549,-,2022-02-03,Submitted,363
JE,Multiplicity dependence of charged-particle jet production in pp collisions at $\sqrt{s} = 13$ TeV,pp,http://arxiv.org/abs/2202.01548v1,2202.01548,-,2022-02-03,Submitted,362
HF,Measurement of beauty production via non-prompt ${\rm D}^{0}$ mesons in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV,PbPb,http://arxiv.org/abs/2202.00815v1,2202.00815,-,2022-02-01,Submitted,361
CF,First study of the two-body scattering involving charm hadrons,pp,http://arxiv.org/abs/2201.05352v1,2201.05352,-,2022-01-14,Submitted,360
CF,Neutral to charged kaon yield fluctuations in Pb$-$Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76TeV,PbPb,http://arxiv.org/abs/2112.09482v1,2112.09482,-,2021-12-17,Submitted,359
DQ,Forward rapidity J/$ψ$ production as a function of charged-particle multiplicity in pp collisions at $\sqrt{s} =$ 5.02 and 13 TeV,pp,http://arxiv.org/abs/2112.09433v1,2112.09433,-,2021-12-17,Submitted,358
HF,Constraining hadronization mechanisms with $\rm Λ_{\rm c}^{+}$/D$^0$ production ratios in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV,PbPb,http://arxiv.org/abs/2112.08156v1,2112.08156,-,2021-12-15,Submitted,357
LF,Production of light (anti)nuclei in pp collisions at $\sqrt{s}~=~5.02$ TeV,pp,http://arxiv.org/abs/2112.00610v2,2112.00610,-,2021-12-01,Submitted,356
HF,Observation of a multiplicity dependence in the $p_{\rm T}$-differential charm baryon-to-meson ratios in proton-proton collisions at $\sqrt{s} = 13$ TeV,pp,http://arxiv.org/abs/2111.11948v1,2111.11948,-,2021-11-23,Submitted,355
CF,K$^0_{\rm S}$K$^0_{\rm S}$ and K$^0_{\rm S}$K$^\pm$ femtoscopy in pp collisions at $\sqrt{s}=$ 5.02 and 13 TeV,pp,http://arxiv.org/abs/2111.06611v1,2111.06611,-,2021-11-12,Submitted,354
