   * Generated on 2026-Sep-24 16:27 CEST  .
%TABLE{columnwidths="5%,65%,5%,5%,5%,15%"}%
|*Group*|*Title*|*System*|*arXiv*|*Inspire*|*Journal*|*N*|
|HF|Probing flavor effects in the QCD parton shower using \(\mathbf{{\rm D}^0}\)-tagged jet angularities in proton\(-\)proton collisions at \(\mathbf{ \sqrt{s} = 5.02}\) !TeV|pp|[[http://arxiv.org/abs/2606.20028v1][2606.20028]]|[[https://inspirehep.net/literature/3170336][3170336]]|%RED%Submitted%ENDCOLOR%|110|
|EM|Evidence for parton energy loss in oxygen\(-\)oxygen collisions at \(\mathbf{\sqrt{s_{\rm NN}}=5.36}\) !TeV|OO,pO,pp|[[http://arxiv.org/abs/2606.19967v2][2606.19967]]|[[https://inspirehep.net/literature/3170323][3170323]]|%RED%Submitted%ENDCOLOR%|109|
|JE|Energy-energy correlators in p-Pb collisions at \(\sqrt{s_{\rm NN}} = 5.02\) !TeV|pp,%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2606.18143v1][2606.18143]]|[[https://inspirehep.net/literature/3169392][3169392]]|%RED%Submitted%ENDCOLOR%|108|
|JE|Probing jet evolution with charged energy correlators in small systems|pp,%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2606.18093v1][2606.18093]]|[[https://inspirehep.net/literature/3169393][3169393]]|%RED%Submitted%ENDCOLOR%|107|
|CF|\(\mathbf{\textbf{K}^{0}_{\textbf{S}}}-\mathbf{\textbf{K}^{0}_{\textbf{S}}}\) femtoscopy in Pb\(-\)Pb collisions at \(\mathbf{\sqrt{\textit{s}_{\rm NN}} = 5.02}\) !TeV at the LHC|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2605.02321v1][2605.02321]]|[[https://inspirehep.net/literature/3151442][3151442]]|%RED%Submitted%ENDCOLOR%|106|
|HF|Measurement of the \(\mathbf{B^0}\)-meson production cross section in proton--proton collisions at \(\mathbf{\sqrt{\textit{s}}=13.6}\) !TeV|pp|[[http://arxiv.org/abs/2603.18904v1][2603.18904]]|[[https://inspirehep.net/literature/3131502][3131502]]|%RED%Submitted%ENDCOLOR%|105|
|HF|Medium-induced modification of azimuthal correlations of electrons from heavy-flavor hadron decays with charged particles in Pb-Pb collisions at \(\sqrt{s_{\rm{NN}} = 5.02}\) !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2507.13197v1][2507.13197]]|[[https://inspirehep.net/literature/2951290][2951290]]|%GREEN%[[https://doi.org/10.1140/epjc/s10052-026-15412-w][Eur. Phys. J. C 86]]%ENDCOLOR%|104|
|LF|Study of \(\langle p_{\rm T} \rangle\) and its higher moments, and extraction of the speed of sound in Pb-Pb collisions with ALICE|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2506.10394v2][2506.10394]]|[[https://inspirehep.net/literature/2933773][2933773]]|%GREEN%[[https://doi.org/10.1007/JHEP11(2025)076][JHEP 11]]%ENDCOLOR%|103|
|HF|Energy-energy correlators in charm-tagged jets in proton-proton collisions at \(\mathbf{\sqrt{s} = 13}\) !TeV|pp|[[http://arxiv.org/abs/2504.03431v1][2504.03431]]|[[https://inspirehep.net/literature/2907937][2907937]]|%RED%Submitted%ENDCOLOR%|102|
|HF|D\(^{0}\)-meson-tagged jet axes difference in proton-proton collisions at \(\mathbf{\sqrt{\textit{s}} = 5.02}\) !TeV|pp|[[http://arxiv.org/abs/2504.02571v2][2504.02571]]|[[https://inspirehep.net/literature/2907593][2907593]]|%GREEN%[[https://doi.org/10.1103/nt4q-7t77][Phys. Rev. D 112]]%ENDCOLOR%|101|
|UD|Evidence for J/\(\psi\) suppression in incoherent photonuclear production|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2503.18708v1][2503.18708]]|[[https://inspirehep.net/literature/2903550][2903550]]|%GREEN%[[https://doi.org/10.1103/jmwb-75m7][Phys. Rev. Lett. 137]]%ENDCOLOR%|100|
|LF|Observation of the \(Ω\)(2012) baryon at the LHC|pp|[[http://arxiv.org/abs/2502.18063v2][2502.18063]]|[[https://inspirehep.net/literature/2895566][2895566]]|%GREEN%[[https://doi.org/10.1103/v4mh-3r8z][Phys. Rev. D 112]]%ENDCOLOR%|99|
|JE|Measurement of isolated prompt photon production in pp and p-Pb collisions at the LHC|pp,%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2502.18054v2][2502.18054]]|[[https://inspirehep.net/literature/2895564][2895564]]|%GREEN%[[https://doi.org/10.1140/epjc/s10052-025-14802-w][Eur. Phys. J. C 85]]%ENDCOLOR%|98|
|No group||[[][2411.0956]]|[[None][0]]|%RED%Submitted%ENDCOLOR%|
|JE|Medium-induced modification of groomed and ungroomed jet mass and angularities in Pb-Pb collisions at \(\sqrt{s_{\rm NN}} = 5.02\) !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2411.03106v2][2411.03106]]|[[https://inspirehep.net/literature/2845788][2845788]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2025.139409][Phys. Lett. B 864]]%ENDCOLOR%|96|
