%TABLE{columnwidths="4%,55%,6%,6%,10%,9%,10%"}%
|*N*||*Group*|*Title*|*arXiv*|*Inspire*|*Journal*|*System*|
|571||LF|Precision mass measurements of multistrange baryons and their antiparticles|[[https://arxiv.org/abs/2606.20144][2606.20144]]|n/a|n/a|pp|
|570||JE|Modification of jet-energy flow in heavy-ion collisions|[[https://arxiv.org/abs/2606.20061][2606.20061]]|n/a|n/a|pp,PbPb|
|569||HF|Probing flavor effects in the QCD parton shower using $\mathbf{{\rm D}^0}$-tagged jet angularities in proton$-$proton collisions at $\mathbf{ \sqrt{s} = 5.02}$ TeV|[[https://arxiv.org/abs/2606.20028][2606.20028]]|n/a|n/a|pp|
|568||EM|Evidence for parton energy loss in oxygen$-$oxygen collisions at $\mathbf{\sqrt{s_{\rm NN}}=5.36}$ TeV|[[https://arxiv.org/abs/2606.19967][2606.19967]]|n/a|n/a|OO,pO,pp|
|567||JE|Energy-energy correlators in p-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV|[[https://arxiv.org/abs/2606.18143][2606.18143]]|n/a|n/a|pp,pPb|
|566||JE|Probing jet evolution with charged energy correlators in small systems|[[https://arxiv.org/abs/2606.18093][2606.18093]]|n/a|n/a|pp,pPb|
|565||LF|Hyperon ($Λ$) polarization along the beam axis in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.36$ TeV|[[https://arxiv.org/abs/2606.18070][2606.18070]]|n/a|n/a|PbPb|
|564||UD|Exclusive dimuon production and coherent charmonium photoproduction at forward rapidity in ultra-peripheral Pb$-$Pb collisions at $\mathbf{\sqrt{s_{\rm NN}}=5.36}$ TeV|[[https://arxiv.org/abs/2605.13569][2605.13569]]|n/a|n/a|PbPb|
|563||JE|Measurement of isolated-prompt photon$-$hadron correlations in Pb$-$Pb collisions at $\mathbf{\sqrt{\textit{s}_{\rm NN}} = 5.02}$ TeV|[[https://arxiv.org/abs/2605.02342][2605.02342]]|n/a|n/a|PbPb|
|562||CF|$\mathbf{\textbf{K}^{0}_{\textbf{S}}}-\mathbf{\textbf{K}^{0}_{\textbf{S}}}$ femtoscopy in Pb$-$Pb collisions at $\mathbf{\sqrt{\textit{s}_{\rm NN}} = 5.02}$ TeV at the LHC|[[https://arxiv.org/abs/2605.02321][2605.02321]]|n/a|n/a|PbPb|
|561||DQ|Multiplicity dependence of prompt and non-prompt J/$ψ$ production at midrapidity in pp collisions at $\sqrt{s} = 13$ TeV|[[https://arxiv.org/abs/2604.07968][2604.07968]]|n/a|n/a|pp|
|560||JE|Dijet invariant mass of charged-particle jets in pp and p-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV|[[https://arxiv.org/abs/2604.07961][2604.07961]]|n/a|n/a|pp,pPb|
|559||LF|Wave-Function Femtometry: Hypertriton - The Ultimate Halo Nucleus|[[https://arxiv.org/abs/2604.07949][2604.07949]]|n/a|n/a|pp|
|558||LF|Measurement of the elliptic flow of $^3$He and $^3_Λ$H in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.36$ TeV|[[https://arxiv.org/abs/2603.19398][2603.19398]]|n/a|n/a|PbPb|
|557||CF|Measurement of the transverse-momentum fraction of strange hadrons from jet-like correlation structures in pp collisions at $\sqrt{s} = 13$ TeV|[[https://arxiv.org/abs/2603.19387][2603.19387]]|n/a|n/a|pp|
|556||LF|Production of $Ξ$ and $Ω$ hyperons in high-multiplicity proton-proton collisions at $\sqrt{s}$ = 13 TeV|[[https://arxiv.org/abs/2603.19374][2603.19374]]|n/a|n/a|pp|
|555||HF|Evidence of different $Λ_{\rm c}$-baryon and D-meson elliptic flow in Pb$-$Pb collisions at $\mathbf{\sqrt{\textit{s}_{\rm NN}}}$ = 5.36 TeV with ALICE at the LHC|[[https://arxiv.org/abs/2603.18966][2603.18966]]|n/a|n/a|PbPb|
|554||HF|Measurement of the $\mathbf{B^0}$-meson production cross section in proton--proton collisions at $\mathbf{\sqrt{\textit{s}}=13.6}$ TeV|[[https://arxiv.org/abs/2603.18904][2603.18904]]|n/a|n/a|pp|
